CountryCode,EN.BIR.THRD.NO,EN.MAM.THRD.NO,ER.MRN.PTMR.ZS,EN.HPT.THRD.NO,ER.LND.PTLD.ZS
SOM,0.004097427725927612,0.004110393423370522,0.0,0.0028560042507970243,0.010875576036866359
ZAF,0.010471204188481676,0.007633587786259542,0.013958125623130608,0.0077045696068012755,0.10562211981566821
SSD,0.004325062599590257,0.002935995302407516,0.0,0.0009962805526036133,0.23649769585253455
ESP,0.0034145231049396768,0.0049911920140927775,0.007976071784646063,0.014346439957492029,0.14857142857142858
LKA,0.003642157978602322,0.008514386376981797,0.0009970089730807579,0.019327842720510097,0.37400921658986175
KNA,0.00022763487366264513,0.0005871990604815032,0.005982053838484546,0.00013283740701381508,0.061198156682027646
LCA,0.0011381743683132257,0.0005871990604815032,0.0009970089730807579,0.00039851222104144525,0.2630414746543779
MAF,0.0,0.0005871990604815032,0.02567111434553914,0.00019925611052072262,0.14904349978940365
VCT,0.00045526974732529026,0.0005871990604815032,0.01296111665004985,0.00033209351753453773,0.36737327188940094
SDN,0.005235602094240838,0.003816793893129771,0.0,0.0010626992561105207,0.02433179723502304
SUR,0.002048713862963806,0.0026423957721667646,0.22831505483549352,0.0017933049946865036,0.06451612903225806
SWZ,0.0029592533576143867,0.002348796241926013,0.0,0.000730605738575983,0.07336405529953917
SWE,0.001821078989301161,0.0002935995302407516,0.040877367896311065,0.00026567481402763017,0.11576036866359447
CHE,0.0013658092419758707,0.0008807985907222549,0.0,0.00026567481402763017,0.012903225806451613
SYR,0.004097427725927612,0.004697592483852026,0.0,0.0008634431455897981,0.004608294930875576
TJK,0.0034145231049396768,0.002055196711685261,0.0,0.0007970244420828905,0.04811059907834101
TZA,0.01069883906214432,0.011156782149148562,0.036889332003988036,0.03998405951115834,0.49788018433179726
THA,0.0116093785567949,0.01644157369348209,0.038883349950149554,0.009962805526036131,0.21990783410138248
TLS,0.0013658092419758707,0.001467997651203758,0.0,6.641870350690754e-05,0.0
TGO,0.002503983610289096,0.0035231943628890195,0.0,0.0007970244420828905,0.20497695852534562
TON,0.0011381743683132257,0.0005871990604815032,0.0,0.00026567481402763017,0.028018433179723502
TTO,0.0011381743683132257,0.0005871990604815032,0.0019940179461615157,0.00013283740701381508,0.5612903225806452
TUN,0.0022763487366264513,0.004110393423370522,0.010967098703888336,0.0004649309245483528,0.023410138248847925
TUR,0.004552697473252903,0.005284791544333529,0.0,0.006907545164718385,0.0003686635944700461
TKM,0.004552697473252903,0.002935995302407516,0.0,0.00026567481402763017,0.05511520737327189
TCA,0.00045526974732529026,0.0005871990604815032,0.006979062811565304,0.000597768331562168,0.6733640552995392
TUV,0.00022763487366264513,0.0002935995302407516,0.0009970089730807579,0.0,0.007373271889400922
UGA,0.005690871841566128,0.008514386376981797,0.0,0.0034537725823591925,0.22617511520737327
UKR,0.004097427725927612,0.002935995302407516,0.05882352941176471,0.001195536663124336,0.03631336405529954
ARE,0.0027316184839517414,0.002348796241926013,0.002991026919242273,0.0,0.23152073732718895
GBR,0.001821078989301161,0.001467997651203758,0.049850448654037885,0.0010626992561105207,0.4014746543778802
USA,0.017527885272023674,0.010275983558426306,0.22532402791625128,0.030685441020191287,0.25253456221198156
URY,0.005007967220578192,0.002935995302407516,0.002991026919242273,0.001461211477151966,0.04
UZB,0.004552697473252903,0.002935995302407516,0.0,0.0011291179596174283,0.03907834101382489
VUT,0.002048713862963806,0.002055196711685261,0.0,0.0006641870350690755,0.06838709677419355
VEN,0.010015934441156385,0.010275983558426306,0.07676969092721835,0.005446333687566419,0.7369585253456221
VNM,0.010471204188481676,0.01614797416324134,0.002991026919242273,0.01354941551540914,0.0840552995391705
VIR,0.00022763487366264513,0.0002935995302407516,0.015952143569292126,0.0007970244420828905,0.2737327188940092
PSE,0.0029592533576143867,0.0008807985907222549,0.02567111434553914,0.00019925611052072262,0.14904349978940365
YEM,0.004097427725927612,0.0026423957721667646,0.0,0.010759829968119023,0.0
ZMB,0.004097427725927612,0.0035231943628890195,0.0,0.001328374070138151,0.664516129032258
ZWE,0.003869792852264967,0.0026423957721667646,0.0,0.0011291179596174283,0.31152073732718893
