CountryCode,IndicatorCode,1960,1970,1980,1990,2000,2005,2010,2011,2012,2013,2014,2015,2016
LAO,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
LVA,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
LVA,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
LBN,EN.CLC.DRSK.XQ,,,,,,,,3.0,,,,,
LBN,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
LSO,EN.CLC.DRSK.XQ,,,,,,,,2.5,,,,,
LSO,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
LBR,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
LBR,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
LBY,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
LBY,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
LIE,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
LIE,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
LTU,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
LTU,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
LUX,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
LUX,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
MAC,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
MAC,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
MKD,EN.CLC.DRSK.XQ,,,,,,,,3.25,,,,,
MKD,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
MDG,EN.CLC.DRSK.XQ,,,,,,,,3.75,,,,,
MDG,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
MWI,EN.CLC.DRSK.XQ,,,,,,,,1.75,,,,,
MWI,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
MYS,EN.CLC.DRSK.XQ,,,,,,,,3.75,,,,,
MYS,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
MDV,EN.CLC.DRSK.XQ,,,,,,,,2.25,,,,,
MDV,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
MLI,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
MLI,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
MLT,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
MLT,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
MHL,EN.CLC.DRSK.XQ,,,,,,,,1.75,,,,,
MHL,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
MRT,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
MRT,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
MUS,EN.CLC.DRSK.XQ,,,,,,,,3.5,,,,,
MUS,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
MEX,EN.CLC.DRSK.XQ,,,,,,,,4.25,,,,,
MEX,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
FSM,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
FSM,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
MDA,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
MDA,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
MCO,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
MCO,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
MNG,EN.CLC.DRSK.XQ,,,,,,,,2.75,,,,,
MNG,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
MNE,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
MNE,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
MAR,EN.CLC.DRSK.XQ,,,,,,,,3.0,,,,,
MAR,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
MOZ,EN.CLC.DRSK.XQ,,,,,,,,4.0,,,,,
MOZ,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
MMR,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
MMR,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
NAM,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
NAM,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
NRU,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
NRU,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
NPL,EN.CLC.DRSK.XQ,,,,,,,,2.75,,,,,
NPL,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
NLD,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
NLD,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
NCL,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
NCL,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
NZL,EN.CLC.DRSK.XQ,,,,,,,,3.75,,,,,
NZL,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
NIC,EN.CLC.DRSK.XQ,,,,,,,,3.75,,,,,
NIC,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
NER,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
